conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Executed,State for Financial Transaction,Information Concept State,,Financial Transaction,,Financial Transaction,1,,
,Pending,State for Financial Transaction,Information Concept State,,Financial Transaction,,Financial Transaction,2,,
,Rejected,State for Financial Transaction,Information Concept State,,Financial Transaction,,Financial Transaction,3,,
,Cancelled,State for Financial Transaction,Information Concept State,,Financial Transaction,,Financial Transaction,4,,
,Financial Transaction -> Asset,Related information concept link from Financial Transaction to Asset,Information Concept Link,,Financial Transaction,,Financial Transaction,1,,Asset
,Financial Transaction -> Channel,Related information concept link from Financial Transaction to Channel,Information Concept Link,,Financial Transaction,,Financial Transaction,2,,Channel
,Financial Transaction -> Constituent,Related information concept link from Financial Transaction to Constituent,Information Concept Link,,Financial Transaction,,Financial Transaction,3,,Constituent
,Financial Transaction -> Currency,Related information concept link from Financial Transaction to Currency,Information Concept Link,,Financial Transaction,,Financial Transaction,4,,Currency
,Financial Transaction -> Financial Account,Related information concept link from Financial Transaction to Financial Account,Information Concept Link,,Financial Transaction,,Financial Transaction,5,,Financial Account
,Financial Transaction -> Human Resource,Related information concept link from Financial Transaction to Human Resource,Information Concept Link,,Financial Transaction,,Financial Transaction,6,,Human Resource
,Financial Transaction -> Investment Portfolio,Related information concept link from Financial Transaction to Investment Portfolio,Information Concept Link,,Financial Transaction,,Financial Transaction,7,,Investment Portfolio
